第1页

1. 您的年龄是？
选项,百分比%,小计
18岁以下,2.2%,2
18-30岁,93.4%,85
31-45岁,1.1%,1
46-60岁,1.1%,1
60岁以上,2.2%,2
有效填写量,,91

2. 你家乡是否有年例文化？
选项,百分比%,小计
是,93.4%,85
否,6.6%,6
有效填写量,,91

3. 您的家乡位于？
选项,百分比%,小计
电白区,72.9%,62
茂南区,9.4%,8
茂港区,1.2%,1
高州市,7.1%,6
信宜市,3.5%,3
化州市,4.7%,4
湛江市,1.2%,1
其他城市____{fillblank-6209},0.0%,0
有效填写量,,85

4. 您家乡举办年例的月份？（可多选）
选项,百分比%,小计
一月,48.2%,41
二月,60.0%,51
三月,12.9%,11
四月,0.0%,0
五月,1.2%,1
六月,0.0%,0
七月,1.2%,1
八月,2.4%,2
九月,0.0%,0
十月,1.2%,1
十一月,0.0%,0
十二月,3.5%,3
有效填写量,,85

5. 您家乡年例宴席时间？
选项,百分比%,小计
白天,55.3%,47
晚上,12.9%,11
白天持续到晚上,25.9%,22
持续一天以上,5.9%,5
有效填写量,,85

6. 您的家乡的年例活动持续多长时间？
选项,百分比%,小计
1天-3天,85.9%,73
1周,7.1%,6
1周以上,7.1%,6
有效填写量,,85

7. 您所在的村庄或乡镇有哪些活动？（可多选）
选项,百分比%,小计
游神,70.6%,60
祭神,67.1%,57
宴客,68.2%,58
渔船巡游，疍家歌舞,5.9%,5
歌舞粤剧,55.3%,47
抢炮头,8.2%,7
菩萨出嫁,4.7%,4
荔枝祭,1.2%,1
跳傩舞,2.4%,2
上刀山,1.2%,1
飘色巡游,8.2%,7
吊花灯,7.1%,6
赛灯笼,1.2%,1
“打醮”仪式,4.7%,4
穿令箭,0.0%,0
E. 其他（请注明）____{fillblank-db84},2.4%,2
有效填写量,,85

8. 您家乡年例特别的现象？
选项,百分比%,小计
“乞讨”,40.0%,34
学校放假,23.5%,20
交通管制,35.3%,30
店铺歇业,18.8%,16
菜市场涨价,34.1%,29
忌讳扫地,16.5%,14
直播年例,14.1%,12
网红小吃摊,28.2%,24
无,18.8%,16
有效填写量,,85

9. 您认为近十年的年例有何变化？（可多选）
选项,百分比%,小计
从大型宴请转为家庭宴请,63.5%,54
游神队伍老龄化,23.5%,20
年轻人参与度提高,31.8%,27
传统习俗衰退,43.5%,37
政府引导（如“绿色年例”）,24.7%,21
网红经济渗透,16.5%,14
从亲力亲为到外包服务,32.9%,28
环保意识提升,10.6%,9
本土文化创新尝试（如商业化文创）,5.9%,5
没有明显变化,7.1%,6
其他（请注明）____{fillblank-e95d},0.0%,0
有效填写量,,85

10. 您家乡戏台的演变？（若有）
选项,百分比%,小计
一直是临时搭建的草棚,15.7%,13
从之前临时搭建的草棚变临时搭建的铁架,27.7%,23
修建了戏台,30.1%,25
从临时变成了戏台建筑,16.9%,14
无戏台,9.6%,8
有效填写量,,83

11. 您认为导致年例变化的原因有哪些？
选项,百分比%,小计
生活节奏加速,64.7%,55
商业资本渗透,28.2%,24
城乡人口流动,71.8%,61
疫情影响,55.3%,47
年轻一代传承不够,47.1%,40
其他（请注明）____{fillblank-14d2},0.0%,0
有效填写量,,85

12. 您是否注意到年例的菜式有什么变化？
选项,百分比%,小计
菜式更加丰富,43.5%,37
菜式减少,20.0%,17
没有明显变化,36.5%,31
其他（请注明）____{fillblank-6b7f},0.0%,0
有效填写量,,85

13. 您家乡年例的菜式主要是什么？
选项,百分比%,小计
鸡鸭肉禽类,90.6%,77
蔬菜类,57.6%,49
山珍农家风味（野生红菇炖鸡汤、腊味蒸银妃三华李干）,24.7%,21
海鲜风味（墨鱼饼、蚝炸、螃蟹、盐焗虾等）,69.4%,59
农耕风味（荔枝木烧鸡、东岸豆饼角酿肉）,21.2%,18
药膳与香料风味（香油鸡、牛杂水、炖老鸭）,23.5%,20
山区风味（三黄鸡、竹笋炒五花肉、腊味蒸银妃三华李干）,14.1%,12
城乡融合特色（狗肉煲、黄鳝粥、薯包籺）,10.6%,9
